NAME	GS_SIZE	ES	NES	NOM_pval	FDR_qval	FWER_pval	RANK_AT_MAX	LEADING_EDGE
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	26	-0.393878420026925	-1.28950441015554	0.143187066974596	0.260453979982871	0.260453979982871	NA	TICAM2,CD14,DAPK1,RIPK1,TNFRSF10A,MAGED1,UNC5A,CASP9,TNFRSF10B,APPL1,FADD,UNC5B,TLR4
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	37	-0.370083908795029	-1.29041559376623	0.129675810473815	0.243188649918175	0.243188649918175	NA	CCNG1,RFFL,PPP2R5C,MAPKAP1,USP7,MTOR,PDPK1,AKT2,MDM2,PHF20,UBC,DAXX,RNF34,TP53,UBB,AKT3,PPP2R1A,AKT1,UBA52,ATM
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS	27	-0.394575054256217	-1.294344785507	0.129411764705882	0.243188649918175	0.243188649918175	NA	RNF213,KPNB1,RAB5A,MAPK1,RAB7A,KPNA1,TRIM27,UBC,SFPQ,UBB,HGS,ATP6V1H,MRC1,B2M
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	28	-0.390492365627249	-1.29517848213107	0.142523364485981	0.259929126686049	0.259929126686049	NA	VPS4B,PDCD6IP,UBAP1,VPS37A,VTA1,CHMP2B,TSG101,CHMP5,UBC,CHMP4A,CHMP3,UBB
REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS	65	-0.330458507695175	-1.2963087011113	0.101485148514851	0.207861749029414	0.207861749029414	NA	FXR1,AKAP9,BRAF,JAK2,QKI,AGGF1,TRIM24,IQGAP1,AP3B1,MAPK1,TLN1,KSR1,PEBP1,ATG7,ARRB1,YWHAB,ITGA2B,APBB1IP,FGB,SND1,ARRB2,RAF1,CNKSR2,FAM114A2,PAPSS1,KRAS,ACTG1,MARK3,SRC,CSK,CLCN6,CALM1,CAMK2G,MAP2K1,RAP1B,RAP1A
KEGG_ERBB_SIGNALING_PATHWAY	87	-0.312665356979385	-1.29662890549071	0.0656565656565657	0.153836824505778	0.153836824505778	NA	CRKL,SOS1,SHC1,MAP2K4,CBL,BRAF,MAPK9,PIK3CG,MAPK8,PIK3R1,PAK2,MAPK1,STAT5B,SOS2,CBLB,PLCG2,MTOR,GSK3B,AKT2,MAP2K7,PIK3CB,CDKN1A,PIK3CA
REACTOME_SIGNALING_BY_SCF_KIT	43	-0.359568337738451	-1.29831463472562	0.113022113022113	0.221822135615239	0.221822135615239	NA	PTPN11,SOS1,STAT3,CBL,JAK2,STAT1,SH2B3,PIK3R1,STAT5B,GAB2,SH2B2,VAV1,PIK3CA,PTPN6,FES,LYN,GRB2,STAT5A,TEC,KRAS
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	23	-0.411201925266278	-1.29927741953763	0.153669724770642	0.273680370321639	0.273680370321639	NA	POLR3F,NFIX,POLR1D,SSB,POLR3C,POLR3B,POLR3GL,POLR3D,POLR1C,POLR3E,POLR2K,POLR3K
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	15	-0.46485842608808	-1.3009067653975	0.16289592760181	0.284911443155022	0.284911443155022	NA	SOS1,SHC1,CBL,PIK3R1,HSP90AA1,PIK3CA,GRB2,KRAS
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	350	-0.261731549331879	-1.30174824422599	0.0045264029249116	0.0181321595173878	0.0181321595173878	NA	GSR,PSMC6,LARS1,GATM,MCCC1,TMLHE,RPL30,TXNRD1,GLUD2,CBS,ASRGL1,KMO,SECISBP2,RPL36A,SERINC5,RPL23,SLC25A13,MTR,SERINC3,SERINC1,PCBD1,RPL17,EPRS1,PSMB2,RPS23,MCCC2,RPS11,RPL22,AMT,RPL15,RPL6,RPS17,OAT,RPS4X,RPL26,KYNU,SMS,RPL28,EEF1E1,RPL10,RPL5,PSMC2,HIBCH,RPS27,RPL21,BCKDHA,GLS,GLUD1,RPL36AL,HNMT,SCLY,RPS27L,SLC44A1,PSMB7,RPL31,RPS18,SLC36A4,AZIN1,PSMD12,SEPHS2,PSMD14,PSMD11,SDSL,DARS1,RPL4,AIMP1,DDO,BCAT1,PSMA1,RPL18A,ACAD8,ADRM1,ADO,RPL11,KYAT3,PSMC4,RPS5,HIBADH,RPS7,AUH,ASMT,RPS15A,SQOR,PSMD7,KARS1,AHCY,RPS8,ALDH6A1,PSMD2,ADI1,PSMD1,RPL32,DLST,ALDH9A1,MTRR,ENOPH1,PSMD8,PSMA2,RPS20,ODC1,IVD,TXN2,PSMC5,RPS25,PSTK,PAPSS1,RPL37,RPL23A,RPL13A,MTAP,GCDH,SEPSECS,RPS10,IARS1,RPL27A,RPS9,SERINC4,HSD17B10,SLC6A12,RPS6,RPL14,GOT2,DLD,MARS1,RPS3A,RPS15,RPS29,PHYKPL,RPL34,DBT,QDPR,RPL12,RPL18
